"filename", "language", "JSON", "TypeScript", "SCSS", "TypeScript JSX", "XML", "Markdown", "HTML", "Properties", "JavaScript", "comment", "blank", "total"
"d:\web\2023\my\learnmate\src\icons\group.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\list.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\lock.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\payment.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\plus.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\table.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\trash.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\user.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\visibility-off.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\visibility.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\write.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\layouts\AppLayout.tsx", "TypeScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 9, 55
"d:\web\2023\my\learnmate\src\layouts\WrapperLayout.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"d:\web\2023\my\learnmate\src\main.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"d:\web\2023\my\learnmate\src\pages\Auth\Auth.scss", "SCSS", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"d:\web\2023\my\learnmate\src\pages\Auth\SignIn.tsx", "TypeScript JSX", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 21, 118
"d:\web\2023\my\learnmate\src\pages\Auth\SignUp.tsx", "TypeScript JSX", 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 22, 162
"d:\web\2023\my\learnmate\src\pages\CheckEmail\CheckEmail.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\web\2023\my\learnmate\src\pages\CheckEmail\CheckEmail.tsx", "TypeScript JSX", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 13, 69
"d:\web\2023\my\learnmate\src\pages\LearningPlan\LearningPlan.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\web\2023\my\learnmate\src\pages\LearningPlan\LearningPlan.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 5, 13
"d:\web\2023\my\learnmate\src\pages\NotFound\NotFound.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\web\2023\my\learnmate\src\pages\NotFound\NotFound.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 8, 31
"d:\web\2023\my\learnmate\src\pages\Payments\Payments.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\web\2023\my\learnmate\src\pages\Payments\Payments.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 6, 41
"d:\web\2023\my\learnmate\src\pages\Payments\types.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\web\2023\my\learnmate\src\pages\Schedule\Calendar.tsx", "TypeScript JSX", 0, 0, 0, 121, 0, 0, 0, 0, 0, 68, 20, 209
"d:\web\2023\my\learnmate\src\pages\Schedule\CurrentDate.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"d:\web\2023\my\learnmate\src\pages\Schedule\CurrentTime.tsx", "TypeScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 13, 49
"d:\web\2023\my\learnmate\src\pages\Schedule\MonthChanger.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"d:\web\2023\my\learnmate\src\pages\Schedule\Schedule.scss", "SCSS", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 34, 204
"d:\web\2023\my\learnmate\src\pages\Schedule\Schedule.tsx", "TypeScript JSX", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 8, 58
"d:\web\2023\my\learnmate\src\pages\Student\Student.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\web\2023\my\learnmate\src\pages\Student\Student.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 6, 16
"d:\web\2023\my\learnmate\src\pages\Students\Compact.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"d:\web\2023\my\learnmate\src\pages\Students\Students.scss", "SCSS", 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 42, 255
"d:\web\2023\my\learnmate\src\pages\Students\Students.tsx", "TypeScript JSX", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 13, 87
"d:\web\2023\my\learnmate\src\pages\Students\StudentsShowTypeSwitcher.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 36
"d:\web\2023\my\learnmate\src\pages\Students\Table.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 7, 60
"d:\web\2023\my\learnmate\src\pages\Welcome\Welcome.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\web\2023\my\learnmate\src\pages\Welcome\Welcome.tsx", "TypeScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 8, 36
"d:\web\2023\my\learnmate\src\scss\fonts.scss", "SCSS", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
